Gaussian Naive Bayes,"{'Accuracy': 0.803921568627451, 'Precision': 0.6582010582010582, 'Recall': 0.7088183421516755, 'Specificity': 0.7088183421516755, 'F1 Score': 0.6753487253487253, 'Confusion Matrix': array([[5, 1, 0, 0, 0, 0, 0, 0, 0],
       [0, 6, 0, 0, 1, 0, 0, 0, 0],
       [0, 0, 0, 0, 3, 0, 0, 0, 0],
       [0, 0, 0, 7, 0, 0, 0, 0, 0],
       [0, 0, 0, 0, 8, 0, 1, 0, 0],
       [0, 0, 0, 0, 0, 0, 0, 3, 0],
       [0, 0, 0, 0, 0, 0, 4, 1, 0],
       [0, 0, 0, 0, 0, 0, 0, 6, 0],
       [0, 0, 0, 0, 0, 0, 0, 0, 5]])}"
Random Forest,"{'Accuracy': 0.8627450980392157, 'Precision': 0.7638888888888888, 'Recall': 0.7740740740740741, 'Specificity': 0.7740740740740741, 'F1 Score': 0.762257495590829, 'Confusion Matrix': array([[6, 0, 0, 0, 0, 0, 0, 0, 0],
       [0, 7, 0, 0, 0, 0, 0, 0, 0],
       [0, 0, 0, 0, 3, 0, 0, 0, 0],
       [0, 0, 0, 7, 0, 0, 0, 0, 0],
       [0, 0, 0, 0, 9, 0, 0, 0, 0],
       [0, 0, 0, 0, 0, 1, 0, 2, 0],
       [0, 0, 0, 0, 0, 0, 4, 1, 0],
       [0, 0, 0, 0, 0, 1, 0, 5, 0],
       [0, 0, 0, 0, 0, 0, 0, 0, 5]])}"
MPLC,"{'Accuracy': 0.9803921568627451, 'Precision': 0.9888888888888889, 'Recall': 0.9629629629629629, 'Specificity': 0.9629629629629629, 'F1 Score': 0.9719298245614034, 'Confusion Matrix': array([[6, 0, 0, 0, 0, 0, 0, 0, 0],
       [0, 7, 0, 0, 0, 0, 0, 0, 0],
       [0, 0, 2, 0, 1, 0, 0, 0, 0],
       [0, 0, 0, 7, 0, 0, 0, 0, 0],
       [0, 0, 0, 0, 9, 0, 0, 0, 0],
       [0, 0, 0, 0, 0, 3, 0, 0, 0],
       [0, 0, 0, 0, 0, 0, 5, 0, 0],
       [0, 0, 0, 0, 0, 0, 0, 6, 0],
       [0, 0, 0, 0, 0, 0, 0, 0, 5]])}"
Support Vector Machine,"{'Accuracy': 0.4117647058823529, 'Precision': 0.22990196078431374, 'Recall': 0.30687830687830686, 'Specificity': 0.30687830687830686, 'F1 Score': 0.23989898989898992, 'Confusion Matrix': array([[0, 2, 0, 0, 4, 0, 0, 0, 0],
       [0, 5, 0, 0, 2, 0, 0, 0, 0],
       [0, 0, 0, 0, 3, 0, 0, 0, 0],
       [0, 0, 0, 5, 2, 0, 0, 0, 0],
       [0, 0, 0, 0, 9, 0, 0, 0, 0],
       [0, 0, 0, 0, 0, 0, 0, 3, 0],
       [0, 1, 0, 0, 4, 0, 0, 0, 0],
       [0, 4, 0, 0, 0, 0, 0, 2, 0],
       [0, 5, 0, 0, 0, 0, 0, 0, 0]])}"
