index;Experiment;pyrogen;ExpPyr;include_in_model;exclude_from_model;reason_to_exclude
BA028_Fla-St_21;BA028;Fla-St;BA028_Fla-St;FALSE;FALSE;
BA028_Fla-St_22;BA028;Fla-St;BA028_Fla-St;FALSE;FALSE;
BA028_IMDM_01;BA028;IMDM;BA028_IMDM;FALSE;FALSE;
BA028_IMDM_02;BA028;IMDM;BA028_IMDM;FALSE;FALSE;
BA028_IMDM_03;BA028;IMDM;BA028_IMDM;FALSE;TRUE;low seq depth
BA028_LPS_05;BA028;LPS;BA028_LPS;FALSE;FALSE;
BA028_LPS_06;BA028;LPS;BA028_LPS;FALSE;FALSE;
BA028_LPS_07;BA028;LPS;BA028_LPS;FALSE;FALSE;
BA028_Pam3_09;BA028;Pam3;BA028_Pam3;FALSE;FALSE;
BA028_Pam3_10;BA028;Pam3;BA028_Pam3;FALSE;FALSE;
BA028_Pam3_11;BA028;Pam3;BA028_Pam3;FALSE;FALSE;
BA028_R848_13;BA028;R848;BA028_R848;FALSE;FALSE;
BA028_R848_15;BA028;R848;BA028_R848;FALSE;FALSE;
BA028_R848_16;BA028;R848;BA028_R848;FALSE;FALSE;
BA029_CL-307_22;BA029;CL-307;BA029_CL-307;FALSE;FALSE;
BA029_CL-307_23;BA029;CL-307;BA029_CL-307;FALSE;FALSE;
BA029_IMDM_02;BA029;IMDM;BA029_IMDM;FALSE;FALSE;
BA029_IMDM_03;BA029;IMDM;BA029_IMDM;FALSE;FALSE;
BA029_LPS-SM_09;BA029;LPS-SM;BA029_LPS-SM;FALSE;TRUE;LPS-SM is the same as LPS
BA029_LPS-SM_10;BA029;LPS-SM;BA029_LPS-SM;FALSE;TRUE;LPS-SM is the same as LPS
BA029_LPS_05;BA029;LPS;BA029_LPS;FALSE;FALSE;
BA029_LPS_06;BA029;LPS;BA029_LPS;FALSE;FALSE;
BA029_LPS_08;BA029;LPS;BA029_LPS;FALSE;FALSE;
BA029_PGN_14;BA029;PGN;BA029_PGN;FALSE;FALSE;
BA029_PGN_16;BA029;PGN;BA029_PGN;FALSE;FALSE;
BA033_FSL-1_22;BA033;FSL-1;BA033_FSL-1;FALSE;FALSE;
BA033_FSL-1_23;BA033;FSL-1;BA033_FSL-1;FALSE;FALSE;
BA033_Mur_05;BA033;Mur;BA033_Mur;FALSE;FALSE;
BA033_Mur_08;BA033;Mur;BA033_Mur;FALSE;FALSE;
BA046_CRX-527_10;BA046;CRX-527;BA046_CRX-527;FALSE;FALSE;
BA046_CRX-527_11;BA046;CRX-527;BA046_CRX-527;FALSE;FALSE;
BA046_CRX-527_12;BA046;CRX-527;BA046_CRX-527;FALSE;FALSE;
BA046_MPLA_5;BA046;MPLA;BA046_MPLA;FALSE;FALSE;
BA046_MPLA_6;BA046;MPLA;BA046_MPLA;FALSE;FALSE;
BA046_Mur_15;BA046;Mur;BA046_Mur;FALSE;TRUE;low seq depth
BA046_Mur_16;BA046;Mur;BA046_Mur;FALSE;FALSE;
BA029_LTA_18;BA029;LTA;BA029_LTA;FALSE;FALSE;
BA029_LTA_19;BA029;LTA;BA029_LTA;FALSE;FALSE;
BA029_LTA_20;BA029;LTA;BA029_LTA;FALSE;FALSE;
BA042_AH1252_21;BA042;AH1252;BA042_AH1252;FALSE;FALSE;
BA042_AH1252_22;BA042;AH1252;BA042_AH1252;FALSE;FALSE;
BA042_AH1252_23;BA042;AH1252;BA042_AH1252;FALSE;FALSE;
BA042_TL8-506_13;BA042;TL8-506;BA042_TL8-506;FALSE;FALSE;
BA042_TL8-506_14;BA042;TL8-506;BA042_TL8-506;FALSE;FALSE;
BA042_TL8-506_15;BA042;TL8-506;BA042_TL8-506;FALSE;FALSE;
BA042_IMDM_1;BA042;IMDM;BA042_IMDM;FALSE;FALSE;
BA042_IMDM_2;BA042;IMDM;BA042_IMDM;FALSE;FALSE;
BA042_IMDM_3;BA042;IMDM;BA042_IMDM;FALSE;FALSE;
BA042_Fla-PA_17;BA042;Fla-PA;BA042_Fla-PA;FALSE;FALSE;
BA042_Fla-PA_18;BA042;Fla-PA;BA042_Fla-PA;FALSE;FALSE;
BA042_Fla-PA_20;BA042;Fla-PA;BA042_Fla-PA;FALSE;FALSE;
BA042_LPS_5;BA042;LPS;BA042_LPS;FALSE;FALSE;
BA042_LPS_6;BA042;LPS;BA042_LPS;FALSE;FALSE;
BA042_LPS_8;BA042;LPS;BA042_LPS;FALSE;FALSE;
BA042_SCG_10;BA042;SCG;BA042_SCG;FALSE;TRUE;low seq depth
BA042_SCG_12;BA042;SCG;BA042_SCG;FALSE;FALSE;
BA042_SCG_9;BA042;SCG;BA042_SCG;FALSE;FALSE;
BA029_CL-307_24;BA029;CL-307;BA029_CL-307;FALSE;FALSE;
BA029_LPS-SM_11;BA029;LPS-SM;BA029_LPS-SM;FALSE;TRUE;LPS-SM is the same as LPS
BA033_FSL-1_24;BA033;FSL-1;BA033_FSL-1;FALSE;FALSE;
BA033_SCG_10;BA033;SCG;BA033_SCG;FALSE;FALSE;
BA033_SCG_9;BA033;SCG;BA033_SCG;FALSE;FALSE;
BA046_CL-307_21;BA046;CL-307;BA046_CL-307;FALSE;FALSE;
BA046_CL-307_22;BA046;CL-307;BA046_CL-307;FALSE;FALSE;
BA046_CL-307_23;BA046;CL-307;BA046_CL-307;FALSE;FALSE;
BA046_IMDM_1;BA046;IMDM;BA046_IMDM;FALSE;FALSE;
BA046_IMDM_2;BA046;IMDM;BA046_IMDM;FALSE;FALSE;
BA046_CRX-527_9;BA046;CRX-527;BA046_CRX-527;FALSE;FALSE;
BA046_MPLA_8;BA046;MPLA;BA046_MPLA;FALSE;FALSE;
BA046_PGN_17;BA046;PGN;BA046_PGN;FALSE;FALSE;
BA046_PGN_18;BA046;PGN;BA046_PGN;FALSE;FALSE;
BA046_PGN_20;BA046;PGN;BA046_PGN;FALSE;FALSE;
BA059_AH1405_17;BA059;AH1405;BA059_AH1405;FALSE;FALSE;
BA059_AH1405_18;BA059;AH1405;BA059_AH1405;FALSE;FALSE;
BA059_AH1405_19;BA059;AH1405;BA059_AH1405;FALSE;FALSE;
BA059_AH1397_13;BA059;AH1397;BA059_AH1397;FALSE;FALSE;
BA059_AH1397_14;BA059;AH1397;BA059_AH1397;FALSE;FALSE;
BA059_AH1397_15;BA059;AH1397;BA059_AH1397;FALSE;FALSE;
BA059_Fab_22;BA059;Fab;BA059_Fab;FALSE;FALSE;
BA059_Fab_23;BA059;Fab;BA059_Fab;FALSE;FALSE;
BA059_IMDM_01;BA059;IMDM;BA059_IMDM;FALSE;FALSE;
BA059_IMDM_03;BA059;IMDM;BA059_IMDM;FALSE;FALSE;
BA059_LPS_05;BA059;LPS;BA059_LPS;FALSE;FALSE;
BA059_LPS_06;BA059;LPS;BA059_LPS;FALSE;FALSE;
BA059_R848_10;BA059;R848;BA059_R848;FALSE;FALSE;
BA059_R848_11;BA059;R848;BA059_R848;FALSE;FALSE;
BA060_IMDM_01;BA060;IMDM;BA060_IMDM;FALSE;FALSE;
BA060_IMDM_02;BA060;IMDM;BA060_IMDM;FALSE;FALSE;
BA060_LPS-PGN_13;BA060;LPS-PGN;BA060_LPS-PGN;TRUE;FALSE;
BA060_LPS-PGN_14;BA060;LPS-PGN;BA060_LPS-PGN;TRUE;FALSE;
BA060_LPS-PGN_15;BA060;LPS-PGN;BA060_LPS-PGN;TRUE;FALSE;
BA060_LPS-PGN_16;BA060;LPS-PGN;BA060_LPS-PGN;TRUE;FALSE;
BA060_LPS-R848_17;BA060;LPS-R848;BA060_LPS-R848;TRUE;FALSE;
BA060_LPS-R848_18;BA060;LPS-R848;BA060_LPS-R848;TRUE;FALSE;
BA060_LPS-R848_19;BA060;LPS-R848;BA060_LPS-R848;TRUE;FALSE;
BA060_Pam3-PGN_5;BA060;Pam3-PGN;BA060_Pam3-PGN;TRUE;FALSE;
BA060_Pam3-PGN_6;BA060;Pam3-PGN;BA060_Pam3-PGN;TRUE;FALSE;
BA060_Pam3-PGN_7;BA060;Pam3-PGN;BA060_Pam3-PGN;TRUE;FALSE;
BA060_Pam3-R848_09;BA060;Pam3-R848;BA060_Pam3-R848;TRUE;FALSE;
BA060_Pam3-R848_10;BA060;Pam3-R848;BA060_Pam3-R848;TRUE;FALSE;
BA060_Pam3-R848_11;BA060;Pam3-R848;BA060_Pam3-R848;TRUE;FALSE;
BA059_Fab_24;BA059;Fab;BA059_Fab;FALSE;FALSE;
BA063_CRX-527_25;BA063;CRX-527;BA063_CRX-527;FALSE;FALSE;
BA063_CRX-527_26;BA063;CRX-527;BA063_CRX-527;FALSE;FALSE;
BA063_CRX-527_27;BA063;CRX-527;BA063_CRX-527;FALSE;FALSE;
BA063_Fla-St_7;BA063;Fla-St;BA063_Fla-St;FALSE;FALSE;
BA063_Fla-St_8;BA063;Fla-St;BA063_Fla-St;FALSE;FALSE;
BA063_Fla-St_9;BA063;Fla-St;BA063_Fla-St;FALSE;FALSE;
BA063_FSL-1_22;BA063;FSL-1;BA063_FSL-1;FALSE;FALSE;
BA063_FSL-1_23;BA063;FSL-1;BA063_FSL-1;FALSE;FALSE;
BA063_FSL-1_24;BA063;FSL-1;BA063_FSL-1;FALSE;FALSE;
BA063_IMDM_1;BA063;IMDM;BA063_IMDM;FALSE;FALSE;
BA063_IMDM_2;BA063;IMDM;BA063_IMDM;FALSE;FALSE;
BA063_IMDM_3;BA063;IMDM;BA063_IMDM;FALSE;FALSE;
BA063_LPS_4;BA063;LPS;BA063_LPS;FALSE;FALSE;
BA063_LPS_5;BA063;LPS;BA063_LPS;FALSE;FALSE;
BA063_LPS_6;BA063;LPS;BA063_LPS;FALSE;FALSE;
BA063_MPLA_13;BA063;MPLA;BA063_MPLA;FALSE;FALSE;
BA063_MPLA_14;BA063;MPLA;BA063_MPLA;FALSE;FALSE;
BA063_MPLA_15;BA063;MPLA;BA063_MPLA;FALSE;FALSE;
BA063_Mur_19;BA063;Mur;BA063_Mur;FALSE;FALSE;
BA063_Mur_20;BA063;Mur;BA063_Mur;FALSE;FALSE;
BA063_Mur_21;BA063;Mur;BA063_Mur;FALSE;FALSE;
BA063_Pam3_16;BA063;Pam3;BA063_Pam3;FALSE;FALSE;
BA063_Pam3_17;BA063;Pam3;BA063_Pam3;FALSE;FALSE;
BA063_Pam3_18;BA063;Pam3;BA063_Pam3;FALSE;FALSE;
BA063_TL8-506_10;BA063;TL8-506;BA063_TL8-506;FALSE;FALSE;
BA063_TL8-506_11;BA063;TL8-506;BA063_TL8-506;FALSE;FALSE;
BA063_TL8-506_12;BA063;TL8-506;BA063_TL8-506;FALSE;FALSE;
